student_id,grade,tech_savvy,timestamp,duration_minutes,engagement_score,completion_rate,quiz_score,material_rating,interaction_duration,related_materials,material_engagement_score,feature_engagement,jam_belajar,hari_dalam_minggu,akhir_pekan,efisiensi_belajar,rasio_penyelesaian,interaksi_total,material_type_encoded,preferensi_materi,jumlah_pengakses,engagement_rata2,gender_Male,learning_style_Kinesthetic,learning_style_Visual,subject_English,subject_History,subject_Mathematics,subject_Science,click_page_English,click_page_History,click_page_Home,click_page_Math,click_page_Science,performance_label_encoded,learning_speed_encoded,student_feedback_encoded,achievement_status_encoded,is_assessment_encoded
STU1187,0.0,1,2024-12-11 17:00:00,0.609090909090909,0.3333333333333333,0.7888888888888889,0.0139607032057917,0.5,0.2,Video Lesson Grammar,0.5762857405385009,0.5820981879331266,0.2857142857142856,2,0,0.04744086966104,0.788888888888889,0.2466216216216216,0,0.4480207177210507,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2.0,2.0,0,1
STU1126,1.0000000000000002,1,2024-09-22 22:15:00,0.9090909090909092,0.8888888888888888,0.7,0.6549896587383661,0.5,0.7333333333333334,Interactive Exercise Algebra,0.3527902287925522,0.4663052205503509,1.0,6,1,0.0806361151796091,0.7,0.8226351351351352,0,0.2530521642619311,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0,0,1
STU1107,0.1999999999999999,0,2024-06-03 20:45:00,0.4,0.8888888888888888,0.8333333333333334,0.375,0.0,0.2666666666666666,Audio Lecture Calculus,0.1236544911635118,0.3784643203806787,0.714285714285714,0,0,0.174929853687837,0.8333333333333333,0.3969594594594594,2,0.3546059933407325,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.0,0.0,1,0
STU1046,0.5999999999999999,0,2024-12-28 18:30:00,0.0363636363636363,0.5555555555555556,0.8777777777777778,0.0,0.25,0.0,Video Lesson World War,0.0839016280177197,0.2754961919445374,0.4285714285714284,5,1,0.4659895852026223,0.8777777777777778,0.0574324324324324,2,0.0199778024417314,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0,1
STU1091,0.3999999999999999,0,2024-03-02 22:00:00,0.8636363636363635,0.2222222222222222,0.9333333333333332,1.0,0.25,0.1333333333333333,Audio Lecture Literature,0.6253917374118554,0.8085139041858338,1.0,5,1,0.0214619822511075,0.9333333333333332,0.2525337837837837,2,0.2885682574916759,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,2.0,1,1
STU1083,0.3999999999999999,0,2024-05-17 16:00:00,0.5909090909090908,0.8888888888888888,0.8111111111111111,1.0,1.0,0.5333333333333334,Interactive Exercise Algorithms,0.2528853069583157,0.0811319409347548,0.1428571428571428,4,0,0.1230682977283304,0.811111111111111,0.5565878378378379,2,0.468738438771735,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,1,1
STU1182,0.5999999999999999,0,2024-11-06 20:30:00,0.1727272727272727,0.6666666666666665,0.9444444444444444,0.5847013960703209,0.25,0.0,Interactive Exercise Algorithms,0.4827354037469326,0.3277659095576076,0.714285714285714,2,0,0.2579594351767347,0.9444444444444444,0.1579391891891892,1,0.0588235294117647,0.6538461538461533,0.0706596681502631,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,1,0
STU1087,0.8,1,2025-03-19 19:15:00,0.8363636363636363,0.8888888888888888,0.8444444444444444,0.0,0.5,0.7333333333333334,Video Lesson Algebra,0.044566762661986,0.6509021267405344,0.5714285714285712,2,0,0.0877675744566649,0.8444444444444444,0.7618243243243243,1,0.5238623751387348,0.6538461538461533,0.0706596681502631,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,2.0,0,1
STU1002,0.0,1,2025-06-19 20:15:00,0.0727272727272727,1.0,0.9888888888888888,0.5847013960703209,0.75,0.2,Video Lesson Programming,0.0421669782240557,0.0365293133611533,0.714285714285714,3,0,0.6071094695794742,0.9888888888888888,0.1385135135135135,1,0.5952645209027007,0.6538461538461533,0.0706596681502631,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.0,1,0
STU1141,0.8,0,2025-02-18 21:15:00,0.6545454545454544,0.5555555555555556,0.9111111111111112,0.5681836543433301,0.5,0.3999999999999999,Interactive Exercise Biology,0.7002369878268758,0.5035556582788043,0.8571428571428572,1,0,0.0710260386120599,0.9111111111111112,0.4020270270270271,2,0.45338512763596,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,1,0
